id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,29158.0,567150263724,1,612069049440.0,8452551471,29409.0,29101.0,-239.8049076737152,-0.81573,-3535162789.5250244,-0.61946,19458843.0,21000000.0,21000000.0,69045.0,-57.7866,2021-11-10T14:24:11.849Z,67.81,42882.7091,2013-07-06T00:00:00.000Z,,2023-08-16T07:48:31.137Z
ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,1825.01,219205563411,2,219205563411.0,4399526000,1842.87,1818.53,-17.269759259869033,-0.93741,-1777246381.7087708,-0.80425,120139112.969494,120139112.969494,,4878.26,-62.5974,2021-11-10T14:24:19.604Z,0.432979,421305.35274,2015-10-20T00:00:00.000Z,"{'times': 82.68227446822765, 'currency': 'btc', 'percentage': 8268.227446822766}",2023-08-16T07:48:32.292Z
tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether.png?1668148663,0.997914,83082452277,3,83082452277.0,11824190568,1.001,0.996782,-0.000281770772331713,-0.02823,-189689467.37527466,-0.22779,83182001730.3693,83182001730.3693,,1.32,-24.51011,2018-07-24T00:00:00.000Z,0.572521,74.45705,2015-03-02T00:00:00.000Z,,2023-08-16T07:45:00.330Z
ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,0.600442,31632509017,5,59924486255.0,1405353516,0.627645,0.596803,-0.02674752906092892,-4.26466,-1383545002.4527245,-4.19052,52787284454.0,99988519823.0,100000000000.0,3.4,-82.36742,2018-01-07T00:00:00.000Z,0.00268621,22207.8279,2014-05-22T00:00:00.000Z,,2023-08-16T07:48:34.815Z
usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,0.999516,26025371040,6,26025365285.0,2315728784,1.002,0.998887,-0.00204285699045248,-0.20397,32572259.0,0.12531,26028280706.7024,26028274951.5095,,1.17,-14.73667,2019-05-08T00:40:28.300Z,0.877647,13.92835,2023-03-11T08:02:13.981Z,,2023-08-16T07:48:34.746Z
cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,0.279153,9767036034,9,12541485527.0,188781172,0.290157,0.278241,-0.01064196209959134,-3.67224,-365466262.5248318,-3.60687,35045020830.3234,45000000000.0,45000000000.0,3.09,-90.97157,2021-09-02T06:00:10.474Z,0.01925275,1347.58397,2020-03-13T02:22:55.044Z,,2023-08-16T07:48:34.905Z
solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/solana.png?1640133422,23.44,9509993383,10,12993972824.0,462115182,25.01,23.4,-1.4482963893949403,-5.8181,-548504407.7290134,-5.45314,406273587.78498,555111633.239892,,259.96,-90.99688,2021-11-06T21:54:35.825Z,0.500801,4573.39844,2020-05-11T19:35:23.449Z,,2023-08-16T07:48:31.857Z
matic-network,matic,Polygon,https://assets.coingecko.com/coins/images/4713/large/matic-token-icon.png?1624446912,0.628839,5853068320,13,6280474002.0,284156434,0.676957,0.627126,-0.04629639681475006,-6.85735,-424833664.3073273,-6.76713,9319469069.28493,10000000000.0,10000000000.0,2.92,-78.46873,2021-12-27T02:08:34.307Z,0.00314376,19873.1699,2019-05-10T00:00:00.000Z,"{'times': 238.1024297702561, 'currency': 'usd', 'percentage': 23810.24297702561}",2023-08-16T07:48:36.057Z
cosmos,atom,Cosmos Hub,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1555657960,8.02,2343189716,30,,123841646,8.51,7.98,-0.46471031650226813,-5.47914,-134190962.29206038,-5.41665,292586163.827428,,,44.45,-81.9821,2022-01-17T00:34:41.497Z,1.16,590.36145,2020-03-13T02:27:44.591Z,"{'times': 79.16732032488385, 'currency': 'usd', 'percentage': 7916.732032488385}",2023-08-16T07:48:35.279Z
terra-luna-2,luna,Terra,https://assets.coingecko.com/coins/images/25767/large/01_Luna_color.png?1653556122,0.500463,174049533,181,537548062.0,49417534,0.558061,0.489315,-0.05759755533744215,-10.32102,-19882724.06838146,-10.25241,349207163.20945,1078518456.25778,,18.87,-97.35042,2022-05-28T09:18:14.847Z,0.489315,2.18104,2023-08-15T19:10:02.559Z,,2023-08-16T07:48:38.224Z
